Area_m2,Grade,Surface_Ty,Damage_Typ,Damage_Wid,Length,NSG_REFERE,NE_ID_OF,NE_DESCR,LOCALITY
25.75878799,Grade 3 Mid Life,HRA,"Reinstatement, Fretting, Cracking - Fine Cracking",7.575072028,3.40133076,45801499,7417465,HOSPITAL FIELDS ROAD,FISHERGATE
7.502114,Grade 1 Free From Defects,Modular,,6.364659892,1.17900749,45802410,4744811,ST ANDREW PLACE,GUILDHALL
35.7821,Not classified,,,5.089680339,7.03210267,45801387,4744871,FOSSGATE,GUILDHALL
10.176755,Grade 3 Mid Life,Bituminous,"Fretting, Chipping Loss",5.952429948,1.71015372,33301244,4744721,UPPERCROFT,HAXBY
20.048663,Grade 3 Mid Life,Bituminous,"Fretting, Ironwork Deterioration, Chipping Loss",7.526667643,2.66434538,33301075,4744797,HAXBY ROAD,NEW EARSWICK
75.43196299,Grade 3 Mid Life,Bituminous,"Reinstatement, Fretting, Chipping Loss",9.419479072,8.01012731,34200312,4744850,ATCHERLEY CLOSE,FULFORD
32.378573,Grade 1 Free From Defects,Modular,,5.474093687,5.91634323,45801424,4744790,GRANARY COURT,GUILDHALL
138.35397,Grade 1 Free From Defects,Bituminous,,14.46320305,8.9629489,33301075,4744797,HAXBY ROAD,NEW EARSWICK
40.32278399,Grade 3 Mid Life,Bituminous,Chipping Loss,5.683144931,7.09716075,33301198,4744727,RYEMOOR ROAD,HAXBY
23.194727,Grade 3 Mid Life,Bituminous,"Fatting, Patching, Subsidence, Cracking - Fine Cracking, Fretting",5.315997935,4.36441189,33301151,8238059,NORTH LANE,HAXBY
8.72786,Grade 3 Mid Life,Modular,"Subsidence, Ironwork Deterioration, Vegetation",4.696435646,1.85887157,45801103,4744864,REDMAN CLOSE,FISHERGATE
46.10137,Grade 1 Free From Defects,Bituminous,,5.752016701,8.01679674,45801420,4744798,GOODRAMGATE,
41.10244699,Grade 1 Free From Defects,Bituminous,,6.853526092,5.99894967,33301184,4744675,REDWOOD DRIVE,HAXBY
32.198906,Grade 4 Functionally Impaired,Bituminous,"Chipping Loss, Fatting",6.417236058,5.01879147,45801789,4744795,ST JOHNS STREET,GUILDHALL
16.850756,Grade 3 Mid Life,Bituminous,"Patching, Chipping Loss, Fretting",5.327146638,3.16396703,45801420,4744798,GOODRAMGATE,
42.26531099,Grade 1 Free From Defects,Modular,,4.652443315,9.08679747,45801424,4744790,GRANARY COURT,GUILDHALL
117.110262,Grade 3 Mid Life,Bituminous,Chipping Loss,9.624343493,12.17152786,33301151,8238059,NORTH LANE,HAXBY
40.933062,Grade 3 Mid Life,Bituminous,Chipping Loss,4.819566329,8.4954828,33301184,4744675,REDWOOD DRIVE,HAXBY
22.279204,Grade 5 Structurally Impaired,Bituminous,"Subsidence, Patching, Cracking - Coarse Cracking, Cracking - Wheel Track, Fretting, Chipping Loss, Cracking - Transverse, Cracking - Crazing, Cracking - Wheel Track Crazing",6.333521793,3.51854282,45801857,8236426,VYNER STREET,BOOTHAM
3.267938,Grade 4 Functionally Impaired,Bituminous,Potholes,4.426299753,0.73847902,45801302,4744773,DEL PYKE,GUILDHALL
61.414642,Grade 4 Functionally Impaired,Bituminous,Fatting,5.239817009,11.72401623,33301140,4744481,MOOR LANE,HAXBY
44.29619699,Grade 3 Mid Life,Bituminous,"Chipping Loss, Patching, Cracking - Wheel Track, Ironwork Deterioration, Fretting, Cracking - Coarse Cracking, Cracking - Transverse",6.281743212,7.0533949,33302152,12540717,HUNTINGTON ROAD,HUNTINGTON
28.67279699,Grade 4 Functionally Impaired,Bituminous,"Fretting, Subsidence, Reinstatement, Cracking - Coarse Cracking, Cracking - Wheel Track, Chipping Loss",5.061158301,5.66685502,33301184,4744675,REDWOOD DRIVE,HAXBY
94.468209,Grade 1 Free From Defects,Bituminous,,7.023109819,13.45480705,45802145,4744664,THE VILLAGE,HAXBY
45.974617,Grade 5 Structurally Impaired,Bituminous,"Subsidence, Cracking - Wheel Track Crazing, Cracking - Crazing, Patching, Cracking - Coarse Cracking, Cracking - Wheel Track, Fretting, Chipping Loss, Potholes",6.546471266,7.02452796,45801482,4744753,HIGH NEWBIGGIN STREET,GUILDHALL
6.560936,Grade 3 Mid Life,Modular,"Subsidence, Patching, Ironwork Deterioration, Cracking - Fine Cracking",4.872026511,1.34698796,45801179,4744783,BARTLE GARTH,GUILDHALL
8.023286,Grade 3 Mid Life,Bituminous,"Chipping Loss, Patching, Fretting, Cracking - Coarse Cracking, Cracking - Wheel Track, Fretting - Joint",4.817674452,1.665853,33301184,4744675,REDWOOD DRIVE,HAXBY
30.050131,Grade 1 Free From Defects,Bituminous,"Chipping Loss, Patching, Fretting",4.787281377,6.27883847,33301184,4744675,REDWOOD DRIVE,HAXBY
36.03404199,Grade 1 Free From Defects,Bituminous,,4.636268697,7.77409354,45801404,4744750,GARDEN STREET,GUILDHALL
37.14014,Grade 1 Free From Defects,Bituminous,,4.525251863,8.20938654,45801275,4744741,COLLIERGATE,GUILDHALL
14.33929799,Grade 3 Mid Life,Bituminous,"Fretting, Chipping Loss, Ironwork Deterioration, Vegetation, Fretting - Joint",5.664214482,2.53227548,33301050,4744705,FORESTGATE,HAXBY
22.47266499,Grade 4 Functionally Impaired,Bituminous,"Fretting, Potholes",4.452216536,5.04874608,45801302,4744773,DEL PYKE,GUILDHALL
169.186304,Grade 1 Free From Defects,Bituminous,,7.589313338,22.29888831,33301063,4744678,GREENSHAW DRIVE,WIGGINTON
12.841293,Grade 3 Mid Life,HRA,"Subsidence, Reinstatement, Patching, Chipping Loss",4.370004324,2.93923224,45801675,4744742,OGLEFORTH,GUILDHALL
31.025903,Grade 5 Structurally Impaired,Bituminous,"Subsidence, Cracking - Wheel Track Crazing, Cracking - Crazing, Patching, Reinstatement, Cracking - Coarse Cracking, Cracking - Wheel Track, Fretting, Chipping Loss, Potholes",5.962860354,5.20446485,45801482,4744753,HIGH NEWBIGGIN STREET,GUILDHALL
27.63645299,Grade 3 Mid Life,Bituminous,Chipping Loss,5.278554624,5.23706771,33301151,4745516,NORTH LANE,HAXBY
85.14207,Grade 5 Structurally Impaired,Bituminous,"Subsidence, Cracking - Wheel Track Crazing, Cracking - Crazing, Cracking - Coarse Cracking, Cracking - Wheel Track, Patching, Chipping Loss, Fretting, Fretting - Joint",7.670384914,11.10324247,33301161,4744683,OAK TREE LANE,HAXBY
38.47451999,Not classified,,,3.01003928,12.78531388,45801397,4744869,FULFORD CROSS,FISHERGATE
28.87959599,Grade 1 Free From Defects,Bituminous,,3.899360364,7.40810745,45801822,4744778,TERRY AVENUE,BISHOPHILL
21.52539099,Grade 3 Mid Life,Bituminous,"Cracking - Coarse Cracking, Cracking - Wheel Track, Chipping Loss",4.021830673,5.35348776,45801822,4744778,TERRY AVENUE,BISHOPHILL
43.668145,Grade 3 Mid Life,Bituminous,"Fretting, Chipping Loss",3.840981926,11.37195463,34200191,4744290,MOOR LANE,NABURN
29.118404,Grade 4 Functionally Impaired,Bituminous,"Fretting, Patching, Chipping Loss, Subsidence, Cracking - Coarse Cracking, Cracking - Wheel Track",7.888325819,3.6923603,33301202,4744621,SANDY LANE,HAXBY
198.915169,Grade 1 Free From Defects,Bituminous,,7.515494645,26.47481553,33301039,4744702,EASTFIELD AVENUE,HAXBY
49.935918,Grade 4 Functionally Impaired,Bituminous,"Chipping Loss, Cracking - Coarse Cracking, Cracking - Wheel Track, Cracking - Transverse, Patching, Subsidence, Reinstatement, Fretting",6.6467024,7.51472472,45801789,4744738,ST JOHNS STREET,GUILDHALL
10.204696,Grade 3 Mid Life,Bituminous,"Fretting, Ironwork Deterioration, Chipping Loss",5.296815636,1.92710703,33301203,4744651,SANDYLAND,HAXBY
196.029002,Not classified,,,14.43184198,13.58652242,45802373,4744758,THE CASTLE,GUILDHALL
40.09289199,Grade 3 Mid Life,Bituminous,Chipping Loss,5.613287807,7.14451948,33300989,4744637,BARLEY VIEW,WIGGINTON
19.170476,Grade 3 Mid Life,Bituminous,"Patching, Fatting",6.957253849,2.75623592,45802145,4744632,THE VILLAGE,HAXBY
17.06998799,Grade 4 Functionally Impaired,Bituminous,"Chipping Loss, Cracking - Fine Cracking, Fretting, Patching, Fatting",4.48945917,3.80328728,33301031,4745603,CROSSMOOR LANE,HAXBY
112.496702,Grade 1 Free From Defects,Bituminous,,8.138770853,13.82581259,45801841,4744895,TOWER STREET,GUILDHALL
21.33016699,Grade 5 Structurally Impaired,Bituminous,"Fretting, Subsidence, Patching, Cracking - Coarse Cracking, Ironwork Deterioration, Cracking - Crazing, Cracking - Wheel Track Crazing",6.623983972,3.22104186,45802145,4744632,THE VILLAGE,HAXBY
40.10298499,Grade 1 Free From Defects,Modular,,3.705699212,10.82469899,45801275,4744741,COLLIERGATE,GUILDHALL
51.849843,Grade 1 Free From Defects,Bituminous,,7.662724526,6.76825267,45802823,5578205,SHOPPING CENTRE MCARTHUR GLEN FROM ST NICHOLAS AVENUE,
112.763094,Grade 3 Mid Life,Bituminous,"Reinstatement, Chipping Loss, Fretting, Patching, Ironwork Deterioration",10.14947937,11.11331945,33301203,4744651,SANDYLAND,HAXBY
21.940576,Grade 3 Mid Life,Bituminous,Fatting,4.758032287,4.61254931,33301140,4744481,MOOR LANE,HAXBY
43.390532,Grade 3 Mid Life,HRA,"Subsidence, Reinstatement, Patching, Cracking - Coarse Cracking, Cracking - Wheel Track, Fretting, Cracking - Transverse",5.94991245,7.29444678,45801390,4744731,FOUNTAYNE STREET,BOOTHAM
15.4716,Grade 3 Mid Life,Bituminous,"Chipping Loss, Fretting, Ironwork Deterioration",5.252986189,2.94613012,33300989,4744637,BARLEY VIEW,WIGGINTON
13.899977,Grade 3 Mid Life,Bituminous,Cracking - Transverse,9.326878085,1.49069052,45801841,4744722,TOWER STREET,GUILDHALL
105.308598,Grade 1 Free From Defects,Bituminous,,5.409656731,19.47164908,45801443,4744736,HAMBLETON TERRACE,BOOTHAM
146.547784,Grade 1 Free From Defects,Bituminous,,7.330386171,19.99699505,45802823,5578205,SHOPPING CENTRE MCARTHUR GLEN FROM ST NICHOLAS AVENUE,
17.50740499,Grade 3 Mid Life,Bituminous,"Subsidence, Reinstatement, Patching, Fretting, Cracking - Transverse, Cracking - Coarse Cracking",7.494766673,2.33654172,45801702,4744784,PICCADILLY,GUILDHALL
36.213546,Grade 1 Free From Defects,Bituminous,,7.28544356,4.97195737,45802823,5578205,SHOPPING CENTRE MCARTHUR GLEN FROM ST NICHOLAS AVENUE,
32.160651,Grade 3 Mid Life,Bituminous,"Cracking - Coarse Cracking, Cracking - Wheel Track, Cracking - Longitudinal",5.16268904,6.23102818,34201188,4744746,ST OSWALDS ROAD,FULFORD
29.48425999,Grade 3 Mid Life,Bituminous,"Chipping Loss, Fretting",5.077122021,5.80891792,33301051,4744604,FOXCROFT,HAXBY
42.933793,Grade 3 Mid Life,Bituminous,"Chipping Loss, Ironwork Deterioration",5.098257164,8.42336907,45801186,8238990,BELGRAVE STREET,BOOTHAM
30.553674,Not classified,,,5.563517288,5.493157,45801420,4744723,GOODRAMGATE,
7.254315,Grade 4 Functionally Impaired,Bituminous,"Subsidence, Patching, Cracking - Coarse Cracking, Cracking - Wheel Track, Fretting, Chipping Loss",6.972070497,1.04073943,45801301,4744659,DEANGATE,GUILDHALL
9.69505,Grade 3 Mid Life,Bituminous,"Patching, Ironwork Deterioration, Chipping Loss, Cracking - Wheel Track",4.915508814,1.97281421,45801578,4744653,LOWTHER STREET,GUILDHALL
11.11834799,Grade 3 Mid Life,Bituminous,"Cracking - Transverse, Cracking - Coarse Cracking, Cracking - Wheel Track, Chipping Loss, Fretting",6.242230396,1.78164828,45802145,4744576,THE VILLAGE,HAXBY
10.84568,Grade 5 Structurally Impaired,Bituminous,"Subsidence, Cracking - Wheel Track Crazing, Cracking - Crazing, Patching, Ironwork Deterioration, Cracking - Coarse Cracking, Cracking - Wheel Track, Chipping Loss",6.51660594,1.66471577,45801799,4744748,ST THOMAS PLACE,GUILDHALL
20.691018,Grade 4 Functionally Impaired,Bituminous,"Subsidence, Patching, Cracking - Coarse Cracking, Cracking - Wheel Track, Fretting, Chipping Loss",4.550927755,4.54764924,45801272,4744681,COLE STREET,GUILDHALL
12.24143699,Grade 5 Structurally Impaired,Bituminous,"Chipping Loss, Cracking - Crazing, Cracking - Wheel Track Crazing, Cracking - Longitudinal, Subsidence",4.8951974,2.50130618,45801799,4744748,ST THOMAS PLACE,GUILDHALL
16.524894,Grade 3 Mid Life,Bituminous,"Subsidence, Patching, Fretting, Cracking - Coarse Cracking, Cracking - Wheel Track",6.199382025,2.66631717,45802145,4744576,THE VILLAGE,HAXBY
50.57286599,Grade 4 Functionally Impaired,Bituminous,"Fretting, Patching, Chipping Loss, Subsidence",7.223279075,7.00310419,45801301,4744659,DEANGATE,GUILDHALL
24.152107,Grade 3 Mid Life,Bituminous,"Chipping Loss, Fretting, Ironwork Deterioration",4.7503683,5.08560332,33302104,4746472,WHITETHORN CLOSE,HUNTINGTON
11.269102,Grade 5 Structurally Impaired,Bituminous,"Subsidence, Cracking - Wheel Track Crazing, Cracking - Crazing, Cracking - Coarse Cracking, Cracking - Wheel Track, Chipping Loss, Patching, Fretting, Ironwork Deterioration",6.256827462,1.80159026,33301057,4744500,GLEBE WAY,WIGGINTON
58.10154099,Grade 3 Mid Life,Bituminous,"Cracking - Coarse Cracking, Cracking - Wheel Track, Fretting, Chipping Loss, Reinstatement, Patching",7.233324994,8.03448532,45801731,8236496,ROSE STREET,BOOTHAM
43.872067,Grade 4 Functionally Impaired,High Friction Surfacing,"Chipping Loss, Fretting, Cracking - Transverse, Cracking - Coarse Cracking, Cracking - Wheel Track, Fretting - Joint, Patching, Ironwork Deterioration",8.179487773,5.36502461,45801841,4744714,TOWER STREET,GUILDHALL
57.755918,Grade 3 Mid Life,Bituminous,"Chipping Loss, Cracking - Transverse, Fretting, Ironwork Deterioration",9.582279065,6.02881363,45801593,8236338,MARKHAM CRESCENT,GUILDHALL
66.47001299,Not classified,,,2.520551112,26.37789928,45802122,13559196,NEWGATE,GUILDHALL
